"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 22 18:06:18 GMT 2022","Wed Jun 22 18:06:30 GMT 2022","11542","chromium","example.spec.ts","Issues","","","should see issue with number 76",""
"passed","Wed Jun 22 18:06:30 GMT 2022","Wed Jun 22 18:06:41 GMT 2022","11053","chromium","example.spec.ts","Issues","","","should see issue with number 74",""
